Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  1.279170e+00   1.118540e+00   6.663800e-02
  1.281900e+00   1.093950e+00   6.533030e-02
  1.284640e+00   1.119110e+00   6.555380e-02
  1.287370e+00   1.101490e+00   6.484070e-02
  1.290100e+00   1.101670e+00   6.416430e-02
  1.292840e+00   1.081490e+00   6.307580e-02
  1.295570e+00   1.157970e+00   6.338330e-02
  1.298310e+00   1.139970e+00   6.208960e-02
  1.301040e+00   1.074290e+00   6.271870e-02
  1.303770e+00   9.895890e-01   6.104890e-02
  1.306510e+00   1.076770e+00   6.078650e-02
  1.309240e+00   1.099010e+00   6.188880e-02
  1.311980e+00   1.108960e+00   6.137980e-02
  1.314710e+00   1.073070e+00   6.097290e-02
  1.317440e+00   9.620350e-01   6.011510e-02
  1.320180e+00   1.037760e+00   6.052100e-02
  1.322910e+00   9.598630e-01   6.140200e-02
  1.325650e+00   9.266590e-01   5.982530e-02
  1.328380e+00   9.998990e-01   6.024730e-02
  1.331120e+00   9.898120e-01   6.004290e-02
  1.333850e+00   9.930660e-01   6.050610e-02
  1.336580e+00   9.966670e-01   6.117540e-02
  1.339320e+00   9.447690e-01   5.911180e-02
  1.342050e+00   9.290120e-01   6.002050e-02
  1.344790e+00   9.652240e-01   6.054810e-02
  1.347520e+00   9.103610e-01   6.060010e-02
  1.350250e+00   9.187450e-01   5.979900e-02
  1.352990e+00   8.646250e-01   5.966450e-02
  1.355720e+00   9.438740e-01   6.022610e-02
  1.358460e+00   8.808440e-01   6.045810e-02
  1.361190e+00   7.845380e-01   5.880550e-02
  1.363920e+00   8.917530e-01   5.937490e-02
  1.366660e+00   9.286800e-01   5.974950e-02
  1.369390e+00   8.493220e-01   5.952510e-02
  1.372130e+00   8.896180e-01   5.904480e-02
  1.374860e+00   8.957940e-01   5.934990e-02
  1.377590e+00   8.124170e-01   5.922320e-02
  1.380330e+00   7.993720e-01   5.954680e-02
  1.383060e+00   8.618110e-01   5.962390e-02
  1.385800e+00   7.320420e-01   5.870430e-02
  1.388530e+00   8.395670e-01   5.922570e-02
  1.391260e+00   7.741990e-01   5.889380e-02
  1.394000e+00   7.562910e-01   5.834480e-02
  1.396730e+00   7.954760e-01   5.960650e-02
  1.399470e+00   7.551300e-01   5.878750e-02
  1.402200e+00   8.039390e-01   5.902040e-02
  1.404930e+00   7.319700e-01   5.892550e-02
  1.407670e+00   7.138740e-01   5.862730e-02
  1.410400e+00   7.113280e-01   5.875920e-02
  1.413140e+00   6.574750e-01   5.930570e-02
  1.415870e+00   6.771720e-01   5.870720e-02
  1.418600e+00   8.009810e-01   5.896130e-02
  1.421340e+00   7.056490e-01   5.875490e-02
  1.424070e+00   8.128430e-01   5.896780e-02
  1.426810e+00   7.302810e-01   5.848880e-02
  1.429540e+00   5.954550e-01   5.807620e-02
  1.432270e+00   6.433190e-01   5.798490e-02
  1.435010e+00   6.496680e-01   5.848500e-02
  1.437740e+00   6.409960e-01   5.823710e-02
  1.440480e+00   6.665800e-01   5.838520e-02
  1.443210e+00   7.369190e-01   5.780380e-02
  1.445940e+00   7.040480e-01   5.847520e-02
  1.448680e+00   7.266960e-01   5.840050e-02
  1.451410e+00   7.058150e-01   5.864770e-02
  1.454150e+00   5.743720e-01   5.729650e-02
  1.456880e+00   6.189680e-01   5.736670e-02
  1.459620e+00   5.871070e-01   5.754910e-02
  1.462350e+00   5.786800e-01   5.699920e-02
  1.465080e+00   6.843290e-01   5.737020e-02
  1.467820e+00   6.664070e-01   5.725440e-02
  1.470550e+00   5.701950e-01   5.660390e-02
  1.473290e+00   6.802090e-01   5.692140e-02
  1.476020e+00   5.479290e-01   5.615220e-02
  1.478750e+00   5.895530e-01   5.574040e-02
  1.481490e+00   5.008730e-01   5.637580e-02
  1.484220e+00   6.272800e-01   5.626200e-02
  1.486960e+00   5.244010e-01   5.703340e-02
  1.489690e+00   5.869990e-01   5.556840e-02
  1.492420e+00   6.375110e-01   5.651110e-02
  1.495160e+00   5.487730e-01   5.631170e-02
  1.497890e+00   5.451950e-01   5.603890e-02
  1.500630e+00   5.510030e-01   5.640390e-02
  1.503360e+00   5.671210e-01   5.629510e-02
  1.506090e+00   5.196900e-01   5.651730e-02
  1.508830e+00   5.409020e-01   5.569930e-02
  1.511560e+00   5.947840e-01   5.627340e-02
  1.514300e+00   5.108510e-01   5.579750e-02
  1.517030e+00   5.155270e-01   5.688320e-02
  1.519760e+00   5.143430e-01   5.590470e-02
  1.522500e+00   4.405770e-01   5.587040e-02
  1.525230e+00   4.931750e-01   5.576340e-02
  1.527970e+00   5.020780e-01   5.615910e-02
  1.530700e+00   5.069120e-01   5.615110e-02
  1.533430e+00   4.229150e-01   5.563330e-02
  1.536170e+00   5.630380e-01   5.610720e-02
  1.538900e+00   4.893070e-01   5.529510e-02
  1.541640e+00   5.701520e-01   5.687300e-02
  1.544370e+00   4.735280e-01   5.571930e-02
  1.547100e+00   4.869550e-01   5.591070e-02
  1.549840e+00   4.944880e-01   5.630810e-02
  1.552570e+00   4.911980e-01   5.634930e-02
  1.555310e+00   5.073670e-01   5.579710e-02
  1.558040e+00   5.332540e-01   5.622490e-02
  1.560770e+00   5.163420e-01   5.545880e-02
  1.563510e+00   4.471000e-01   5.622620e-02
  1.566240e+00   4.542140e-01   5.594020e-02
  1.568980e+00   4.458870e-01   5.554010e-02
  1.571710e+00   4.543430e-01   5.561860e-02
  1.574440e+00   4.700360e-01   5.643470e-02
  1.577180e+00   3.962050e-01   5.632960e-02
  1.579910e+00   4.951150e-01   5.636100e-02
  1.582650e+00   3.609450e-01   5.526370e-02
  1.585380e+00   4.397980e-01   5.595480e-02
  1.588120e+00   4.770850e-01   5.584450e-02
  1.590850e+00   4.851080e-01   5.545500e-02
  1.593580e+00   4.657720e-01   5.562480e-02
  1.596320e+00   3.715580e-01   5.543840e-02
  1.599050e+00   4.361830e-01   5.576980e-02
  1.601790e+00   5.123740e-01   5.585550e-02
  1.604520e+00   4.058370e-01   5.570090e-02
  1.607250e+00   4.521500e-01   5.568640e-02
  1.609990e+00   4.126840e-01   5.523000e-02
  1.612720e+00   3.752600e-01   5.569410e-02
  1.615460e+00   3.996180e-01   5.527550e-02
