Sample:   c= 8.5500 mg/ml  Code: 
Parent(s): C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa_secwaxs_20170423c.dat C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa0_hepesbsa0_0018.dat
 2.597870e+000  1.745956e-001  3.553130e-003
 2.607600e+000  1.772581e-001  3.556176e-003
 2.617330e+000  1.822885e-001  3.574368e-003
 2.627070e+000  1.678844e-001  3.532944e-003
 2.636800e+000  1.708896e-001  3.557515e-003
 2.646530e+000  1.702886e-001  3.501754e-003
 2.656260e+000  1.695820e-001  3.544029e-003
 2.665990e+000  1.629020e-001  3.502252e-003
 2.675720e+000  1.635213e-001  3.508682e-003
 2.685450e+000  1.690669e-001  3.510070e-003
 2.695180e+000  1.692852e-001  3.484208e-003
 2.704910e+000  1.691923e-001  3.508475e-003
 2.714640e+000  1.756775e-001  3.476469e-003
 2.724380e+000  1.720377e-001  3.457830e-003
 2.734110e+000  1.717555e-001  3.466762e-003
 2.743840e+000  1.718803e-001  3.486190e-003
 2.753570e+000  1.653657e-001  3.462531e-003
 2.763300e+000  1.634039e-001  3.410554e-003
 2.773030e+000  1.748101e-001  3.451154e-003
 2.782760e+000  1.648375e-001  3.449387e-003
 2.792490e+000  1.727386e-001  3.421540e-003
 2.802220e+000  1.668740e-001  3.426684e-003
 2.811960e+000  1.624930e-001  3.400607e-003
 2.821690e+000  1.647349e-001  3.421236e-003
 2.831420e+000  1.668208e-001  3.392797e-003
 2.841150e+000  1.656860e-001  3.389313e-003
 2.850880e+000  1.688496e-001  3.369674e-003
 2.860610e+000  1.675805e-001  3.388365e-003
 2.870340e+000  1.607313e-001  3.396098e-003
 2.880070e+000  1.666252e-001  3.357007e-003
 2.889800e+000  1.717601e-001  3.357098e-003
 2.899530e+000  1.666536e-001  3.358312e-003
 2.909270e+000  1.672932e-001  3.345765e-003
 2.919000e+000  1.632128e-001  3.360837e-003
 2.928730e+000  1.657781e-001  3.333432e-003
 2.938460e+000  1.643749e-001  3.337316e-003
 2.948190e+000  1.593561e-001  3.331452e-003
 2.957920e+000  1.623584e-001  3.326163e-003
 2.967650e+000  1.715680e-001  3.317359e-003
 2.977380e+000  1.679913e-001  3.283027e-003
 2.987110e+000  1.631589e-001  3.322473e-003
 2.996850e+000  1.625715e-001  3.299470e-003
 3.006580e+000  1.679569e-001  3.277968e-003
 3.016310e+000  1.643581e-001  3.276806e-003
 3.026040e+000  1.645729e-001  3.280844e-003
 3.035770e+000  1.717079e-001  3.296419e-003
 3.045500e+000  1.722501e-001  3.280630e-003
 3.055230e+000  1.603569e-001  3.251945e-003
 3.064960e+000  1.634287e-001  3.258855e-003
 3.074690e+000  1.655430e-001  3.263119e-003
 3.084430e+000  1.643518e-001  3.244367e-003
 3.094160e+000  1.620076e-001  3.245524e-003
 3.103890e+000  1.674155e-001  3.248365e-003
 3.113620e+000  1.611244e-001  3.223876e-003
 3.123350e+000  1.642264e-001  3.222423e-003
 3.133080e+000  1.624874e-001  3.207676e-003
 3.142810e+000  1.572702e-001  3.225903e-003
 3.152540e+000  1.620626e-001  3.222081e-003
 3.162270e+000  1.578176e-001  3.202535e-003
 3.172000e+000  1.572467e-001  3.208625e-003
 3.181740e+000  1.614325e-001  3.172596e-003
 3.191470e+000  1.662299e-001  3.192302e-003
 3.201200e+000  1.560884e-001  3.187328e-003
 3.210930e+000  1.637336e-001  3.177135e-003
 3.220660e+000  1.578754e-001  3.166601e-003
 3.230390e+000  1.552382e-001  3.170353e-003
 3.240120e+000  1.593687e-001  3.167381e-003
 3.249850e+000  1.566828e-001  3.233626e-003
 3.259580e+000  1.525362e-001  3.246487e-003
 3.269320e+000  1.529442e-001  3.305461e-003
 3.279050e+000  1.484274e-001  3.274646e-003
 3.288780e+000  1.550202e-001  3.269057e-003
 3.298510e+000  1.485336e-001  3.283971e-003
 3.308240e+000  1.564130e-001  3.269602e-003
 3.317970e+000  1.490408e-001  3.326865e-003
 3.327700e+000  1.530062e-001  3.284452e-003
 3.337430e+000  1.557173e-001  3.317681e-003
 3.347160e+000  1.525369e-001  3.296534e-003
 3.356900e+000  1.494532e-001  3.213428e-003
 3.366630e+000  1.414608e-001  3.193629e-003
 3.376360e+000  1.467831e-001  3.164159e-003
 3.386090e+000  1.598323e-001  3.168973e-003
 3.395820e+000  1.486174e-001  3.146545e-003
 3.405550e+000  1.459928e-001  3.150273e-003
 3.415280e+000  1.385268e-001  3.144481e-003
 3.425010e+000  1.391088e-001  3.099646e-003
 3.434740e+000  1.384794e-001  3.120016e-003
 3.444470e+000  1.364265e-001  3.112060e-003
 3.454210e+000  1.412620e-001  3.095833e-003
 3.463940e+000  1.323755e-001  3.084644e-003
 3.473670e+000  1.423804e-001  3.080244e-003
 3.483400e+000  1.357392e-001  3.084037e-003
 3.493130e+000  1.414022e-001  3.078800e-003
 3.502860e+000  1.354010e-001  3.077377e-003
 3.512590e+000  1.362088e-001  3.050602e-003
 3.522320e+000  1.376457e-001  3.057546e-003
 3.532050e+000  1.362473e-001  3.047380e-003
 3.541790e+000  1.325479e-001  3.052331e-003
 3.551520e+000  1.361832e-001  3.054382e-003
 3.561250e+000  1.302031e-001  3.024355e-003
 3.570980e+000  1.332236e-001  3.019832e-003
 3.580710e+000  1.334413e-001  3.023696e-003
 3.590440e+000  1.308837e-001  3.015982e-003
 3.600170e+000  1.317608e-001  3.012656e-003
 3.609900e+000  1.310810e-001  3.053664e-003
 3.619630e+000  1.333004e-001  3.101961e-003
 3.629370e+000  1.289687e-001  3.092552e-003
 3.639100e+000  1.288972e-001  3.122015e-003
 3.648830e+000  1.289453e-001  3.144654e-003
 3.658560e+000  1.282058e-001  3.147156e-003
 3.668290e+000  1.257701e-001  3.160368e-003
 3.678020e+000  1.308079e-001  3.166081e-003
 3.687750e+000  1.279233e-001  3.159674e-003
 3.697480e+000  1.285801e-001  3.187367e-003
 3.707210e+000  1.275217e-001  3.195455e-003
 3.716940e+000  1.256748e-001  3.218409e-003
 3.726680e+000  1.304781e-001  3.215409e-003
 3.736410e+000  1.288367e-001  3.241854e-003
 3.746140e+000  1.361390e-001  3.251116e-003
 3.755870e+000  1.335268e-001  3.252084e-003
 3.765600e+000  1.265212e-001  3.292494e-003
 3.775330e+000  1.250552e-001  3.279951e-003
 3.785060e+000  1.242078e-001  3.294474e-003
 3.794790e+000  1.322606e-001  3.291737e-003
 3.804520e+000  1.278673e-001  3.302625e-003
 3.814260e+000  1.266396e-001  3.227343e-003
 3.823990e+000  1.258486e-001  3.193426e-003
 3.833720e+000  1.306229e-001  3.191219e-003
 3.843450e+000  1.329292e-001  3.112951e-003
 3.853180e+000  1.278827e-001  3.130869e-003
 3.862910e+000  1.294398e-001  3.110567e-003
 3.872640e+000  1.336393e-001  3.107905e-003
 3.882370e+000  1.266218e-001  3.088120e-003
 3.892100e+000  1.353926e-001  3.076111e-003
 3.901840e+000  1.324877e-001  3.066457e-003
 3.911570e+000  1.312204e-001  3.041851e-003
 3.921300e+000  1.294194e-001  3.015479e-003
 3.931030e+000  1.310939e-001  3.037235e-003
 3.940760e+000  1.363101e-001  3.013446e-003
 3.950490e+000  1.300348e-001  3.017189e-003
 3.960220e+000  1.289088e-001  2.989666e-003
 3.969950e+000  1.355980e-001  2.989428e-003
 3.979680e+000  1.328602e-001  2.990402e-003
 3.989410e+000  1.294909e-001  2.962203e-003
 3.999150e+000  1.272378e-001  2.976682e-003
 4.008880e+000  1.355268e-001  2.953674e-003
 4.018610e+000  1.318632e-001  2.965783e-003
 4.028340e+000  1.314202e-001  2.957353e-003
 4.038070e+000  1.325960e-001  2.939060e-003
 4.047800e+000  1.337686e-001  2.935601e-003
 4.057530e+000  1.354248e-001  2.940509e-003
 4.067260e+000  1.360840e-001  2.956669e-003
 4.076990e+000  1.370286e-001  2.915604e-003
 4.086730e+000  1.363714e-001  2.901749e-003
 4.096460e+000  1.289912e-001  2.914367e-003
 4.106190e+000  1.324891e-001  2.929464e-003
 4.115920e+000  1.387622e-001  2.931268e-003
 4.125650e+000  1.413121e-001  2.915359e-003
 4.135380e+000  1.394523e-001  2.923094e-003
 4.145110e+000  1.343398e-001  2.903763e-003
 4.154840e+000  1.374775e-001  2.900221e-003
 4.164570e+000  1.415540e-001  2.904098e-003
 4.174300e+000  1.372749e-001  2.888340e-003
 4.184040e+000  1.357119e-001  2.898426e-003
 4.193770e+000  1.366378e-001  2.884450e-003
 4.203500e+000  1.409357e-001  2.882943e-003
 4.213230e+000  1.429389e-001  2.877189e-003
 4.222960e+000  1.364478e-001  2.859314e-003
 4.232690e+000  1.369465e-001  2.888517e-003
 4.242420e+000  1.387903e-001  2.869846e-003
 4.252150e+000  1.410360e-001  2.857416e-003
 4.261880e+000  1.403123e-001  2.838156e-003
 4.271620e+000  1.371428e-001  2.840264e-003
 4.281350e+000  1.453053e-001  2.862934e-003
 4.291080e+000  1.406897e-001  2.830956e-003
 4.300810e+000  1.370359e-001  2.860959e-003
 4.310540e+000  1.426757e-001  2.850505e-003
 4.320270e+000  1.442759e-001  2.822556e-003
 4.330000e+000  1.445132e-001  2.826193e-003
 4.339730e+000  1.411250e-001  2.828089e-003
 4.349460e+000  1.423092e-001  2.842115e-003
 4.359200e+000  1.395718e-001  2.824313e-003
 4.368930e+000  1.418206e-001  2.803645e-003
 4.378660e+000  1.380158e-001  2.800660e-003
 4.388390e+000  1.433497e-001  2.807557e-003
 4.398120e+000  1.406372e-001  2.814570e-003
 4.407850e+000  1.400761e-001  2.799864e-003
 4.417580e+000  1.439872e-001  2.793965e-003
 4.427310e+000  1.437885e-001  2.806823e-003
 4.437040e+000  1.455769e-001  2.785511e-003
 4.446770e+000  1.422065e-001  2.786139e-003
 4.456510e+000  1.468739e-001  2.791917e-003
 4.466240e+000  1.424284e-001  2.790962e-003
 4.475970e+000  1.444312e-001  2.785893e-003
 4.485700e+000  1.415729e-001  2.775430e-003
 4.495430e+000  1.404599e-001  2.764553e-003
 4.505160e+000  1.423681e-001  2.761137e-003
 4.514890e+000  1.419615e-001  2.782367e-003
 4.524620e+000  1.461145e-001  2.758810e-003
 4.534350e+000  1.456789e-001  2.760061e-003
 4.544090e+000  1.429228e-001  2.745733e-003
 4.553820e+000  1.423253e-001  2.761779e-003
 4.563550e+000  1.424729e-001  2.741512e-003
 4.573280e+000  1.475755e-001  2.744268e-003
 4.583010e+000  1.458915e-001  2.745489e-003
 4.592740e+000  1.453336e-001  2.746385e-003
 4.602470e+000  1.492612e-001  2.743938e-003
 4.612200e+000  1.447922e-001  2.720896e-003
 4.621930e+000  1.485361e-001  2.738986e-003
 4.631670e+000  1.461775e-001  2.741079e-003
 4.641400e+000  1.429351e-001  2.725308e-003
 4.651130e+000  1.489447e-001  2.733249e-003
 4.660860e+000  1.425296e-001  2.708352e-003
 4.670590e+000  1.414569e-001  2.715996e-003
 4.680320e+000  1.450301e-001  2.722485e-003
 4.690050e+000  1.458018e-001  2.716669e-003
 4.699780e+000  1.438060e-001  2.705477e-003
 4.709510e+000  1.454654e-001  2.702980e-003
 4.719240e+000  1.435197e-001  2.705278e-003
 4.728980e+000  1.428454e-001  2.705020e-003
 4.738710e+000  1.407896e-001  2.695516e-003
 4.748440e+000  1.462630e-001  2.692501e-003
 4.758170e+000  1.467449e-001  2.701072e-003
 4.767900e+000  1.408268e-001  2.689088e-003
 4.777630e+000  1.425864e-001  2.687060e-003
 4.787360e+000  1.422843e-001  2.667980e-003
