Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 1.336657e-001  2.971878e-002  2.262422e-004
 1.340471e-001  2.984915e-002  2.280888e-004
 1.344287e-001  2.963742e-002  2.246097e-004
 1.348101e-001  2.976205e-002  2.280968e-004
 1.351916e-001  2.995393e-002  2.248239e-004
 1.355730e-001  2.943161e-002  2.243748e-004
 1.359546e-001  2.944506e-002  2.238796e-004
 1.363360e-001  2.918035e-002  2.207341e-004
 1.367174e-001  2.935826e-002  2.225772e-004
 1.370989e-001  2.946736e-002  2.199363e-004
 1.374804e-001  2.912203e-002  2.201985e-004
 1.378619e-001  2.918875e-002  2.184846e-004
 1.382429e-001  2.908656e-002  2.176952e-004
 1.386251e-001  2.866869e-002  2.165294e-004
 1.390060e-001  2.908459e-002  2.166814e-004
 1.393883e-001  2.879002e-002  2.165827e-004
 1.397692e-001  2.903652e-002  2.162033e-004
 1.401500e-001  2.897087e-002  2.154638e-004
 1.405323e-001  2.862325e-002  2.158540e-004
 1.409132e-001  2.869153e-002  2.123900e-004
 1.412954e-001  2.788303e-002  2.126494e-004
 1.416763e-001  2.870628e-002  2.120639e-004
 1.420586e-001  2.832288e-002  2.128457e-004
 1.424395e-001  2.840052e-002  2.129427e-004
 1.428203e-001  2.811067e-002  2.095711e-004
 1.432026e-001  2.778278e-002  2.089994e-004
 1.435835e-001  2.832251e-002  2.091490e-004
 1.439657e-001  2.827639e-002  2.114185e-004
 1.443466e-001  2.820515e-002  2.102989e-004
 1.447275e-001  2.752813e-002  2.066515e-004
 1.451098e-001  2.740043e-002  2.059891e-004
 1.454906e-001  2.781673e-002  2.068173e-004
 1.458729e-001  2.774886e-002  2.072947e-004
 1.462538e-001  2.763840e-002  2.057018e-004
 1.466360e-001  2.732065e-002  2.048748e-004
 1.470169e-001  2.736674e-002  2.050475e-004
 1.473978e-001  2.746494e-002  2.051451e-004
 1.477801e-001  2.726613e-002  2.041333e-004
 1.481609e-001  2.710526e-002  2.015163e-004
 1.485432e-001  2.742703e-002  2.041118e-004
 1.489241e-001  2.705895e-002  2.022990e-004
 1.493063e-001  2.744389e-002  2.047083e-004
 1.496872e-001  2.764880e-002  2.031792e-004
 1.500681e-001  2.724653e-002  2.011814e-004
 1.504504e-001  2.671483e-002  2.008350e-004
 1.508312e-001  2.664545e-002  1.994585e-004
 1.512135e-001  2.665730e-002  1.998442e-004
 1.515944e-001  2.690191e-002  1.992297e-004
 1.519766e-001  2.723047e-002  2.006966e-004
 1.523575e-001  2.666222e-002  1.996065e-004
 1.527384e-001  2.673364e-002  1.976910e-004
 1.531207e-001  2.642998e-002  1.983967e-004
 1.535015e-001  2.644174e-002  1.976017e-004
 1.538838e-001  2.643672e-002  1.965080e-004
 1.542647e-001  2.658315e-002  1.984647e-004
 1.546469e-001  2.623114e-002  1.936523e-004
 1.550278e-001  2.619397e-002  1.960954e-004
 1.554087e-001  2.665233e-002  1.957615e-004
 1.557910e-001  2.617666e-002  1.956207e-004
 1.561718e-001  2.658029e-002  1.963049e-004
 1.565541e-001  2.633905e-002  1.932624e-004
 1.569350e-001  2.651594e-002  1.963928e-004
 1.573159e-001  2.610819e-002  1.931980e-004
 1.576981e-001  2.612381e-002  1.933348e-004
 1.580790e-001  2.606244e-002  1.930286e-004
 1.584613e-001  2.621837e-002  1.932896e-004
